centro_titular|municipio_codigo|distrito_nombre|direccion_via_nombre|centro_tipo_descripcion|dat_codigo|direccion_codigo_postal|centro_titularidad|contacto_telefono2|contacto_telefono3|centro_tipo_desc_abreviada|direccion_numero|contacto_telefono1|centro_codigo|contacto_web|dat_nombre|centro_tipo_codigo|municipio_nombre|distrito_codigo|contacto_fax|direccion_coor_y|direccion_coor_x|direccion_via_tipo|centro_nombre|contacto_telefono4|contacto_email1|promedio_x|promedio_y|distancia|row_num
CONGREGACION DE RELIGIOSAS DEL AMOR DE DIOS|007||Santiago de Compostela|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28924|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|1|916192117|28001010|http://www.educa.madrid.org/cc.amordedios.alcorcon|Madrid-Sur|072|Alcorcón||916118527|4467059.0|430735.0|PLAZA|AMOR DE DIOS||cc.amordedios.alcorcon@educa.madrid.org|430735.0|4467059.0|0.0|1
CONGREGACION DE RELIGIOSAS HIJAS SGDA. FAMILIA DE NAZARET|079|Carabanchel|de las Clarisas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28019|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|4|914714902|28007191|http://www.educa.madrid.org/cc.nazaretoporto.madrid|Madrid-Capital|072|Madrid|11|914722219|4471326.0|438208.0|CALLE|NAZARET-OPORTO||cc.nazaretoporto.madrid@educa.madrid.org|438208.0|4471326.0|0.0|1
CONGREGACION DE RELIGIOSAS SAGRADA FAMILIA DE URGEL|079|Puente de Vallecas|de Palomeras|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28018|PRIVADO CONCERTADO|913031032||CPR INF-PRI-SEC|88|913031032|28013759|http://www.safaurgelmadrid.com|Madrid-Capital|072|Madrid|13|913031029|4470936.0|444430.0|AVDA|SAGRADA FAMILIA DE URGEL||cc.sgdafamilia.madrid@educa.madrid.org|444430.0|4470936.0|0.0|1
CONGREGACION DE RELIGIOSAS SAGRADOS CORAZONES|079|Chamartín|del Padre Damián|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28036|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|34|913441693|28013838|http://www.educa.madrid.org/cc.paraisosagradoscorazones.madrid|Madrid-Capital|072|Madrid|05|913440892|4478736.0|441878.0|CALLE|PARAISO SAGRADOS CORAZONES||cc.paraisosagradoscorazones.madrid@educa.madrid.org|441878.0|4478736.0|0.0|1
CONGREGACION DE RELIGIOSOS DE SAN VIATOR|079|Usera|de Fernández Ladreda|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28026|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|2|915697003|28009446|http://www.colegiosanviator.es|Madrid-Capital|072|Madrid|12|915651608|4470697.0|439126.0|PLAZA|SAN VIATOR||cc.sanviator.madrid@educa.madrid.org|439126.0|4470697.0|0.0|1
CONGREGACION DE RELIGIOSOS PADRES SALESIANOS|079|Tetuán|de Francos Rodríguez|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28039|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|5|914500000|28009291|http://www.salesianosestrecho.es|Madrid-Capital|072|Madrid|06|914501951|4478482.0|440326.0|CALLE|SAN JUAN BAUTISTA||cc.sanjuanbautista.madrid@educa.madrid.org|440326.0|4478482.0|0.0|1
CONGREGACION DEL ORATORIO DE SAN FELIPE NERI|005||San Felipe Neri|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28801|PRIVADO CONCERTADO|||CPR INF-PRI|4|918881397|28000224|www.colegiosanfelipe.es|Madrid-Este|015|Alcalá de Henares||918881397|4481288.0|468721.0|CALLE|SAN FELIPE NERI||cc.sanfelipeneri.alcala@educa.madrid.org|468721.0|4481288.0|0.0|1
CONGREGACION DEL VERBO ENCARNADO|079|Chamberí|de Alenza|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|5|28003|PRIVADO CONCERTADO|915343243||CPR INF|28|915340516|28033023|http://www.educa.madrid.org/cc.verboencarnado.madrid|Madrid-Capital|004|Madrid|07||4477461.0|440615.0|CALLE|VERBO ENCARNADO||cc.verboencarnado.madrid@educa.madrid.org|440615.0|4477461.0|0.0|1
CONGREGACION HIJAS DE CRISTO REY|079|Latina|de Santa Úrsula|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28011|PRIVADO CONCERTADO|914645573||CPR INF-PRI-SEC|5|914636445|28007139|http://www.colegiocristorey.org|Madrid-Capital|072|Madrid|10|915260656|4473779.0|438031.0|CALLE|CRISTO REY||cc.cristorey-latina.madrid@educa.madrid.org|438031.0|4473779.0|0.0|1
CONGREGACION PADRES CARMELITAS|079|Ciudad Lineal|de los Misterios|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28027|PRIVADO CONCERTADO|913773360||CPR INF-PRI-SEC|38|913774569|28014508|http://www.educa.madrid.org/cc.smcarmen.madrid|Madrid-Capital|072|Madrid|15|913671792|4476934.0|445520.0|CALLE|SANTA MARIA DEL CARMEN||cc.smcarmen.madrid@educa.madrid.org|445520.0|4476934.0|0.0|1
CONGREGACION RR. HIJOS DE LA SAGRADA FAMILIA|006||del Goloso|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28108|PRIVADO CONCERTADO|916624595||CPR INF-PRI-SEC|k3,78|916624620|28032638|http://www.educa.madrid.org/cc.manyanet.alcobendas|Madrid-Norte|072|Alcobendas||916624596|4489086.0|443570.0|CTRA|PADRE MANYANET||cc.manyanet.alcobendas@educa.madrid.org|443570.0|4489086.0|0.0|1
CONGREGACION RR. JERONIMAS DE LA ADORACION|079|Ciudad Lineal|de Amara|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28027|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|4|913679327|28011659|http://www.educa.madrid.org/cc.corpuschristi.madrid|Madrid-Capital|072|Madrid|15|914086723|4477381.0|444936.0|CALLE|CORPUS CHRISTI||cc.corpuschristi.madrid@educa.madrid.org|444936.0|4477381.0|0.0|1
CONGREGACION SAGRADOS CORAZONES|079|Latina|de Mirabel|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28044|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|38|917052100|28008958|http://www.educa.madrid.org/cc.enriquetaaymer.madrid|Madrid-Capital|072|Madrid|10|915090212|4470165.0|433771.0|CALLE|ENRIQUETA AYMER||cc.enriquetaaymer.madrid@educa.madrid.org|436628.0|4475962.0|6462.790264274402|1
CONGREGACION SALESIANA|013||de Valeras|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28300|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|24|918910505|28001605|http://www.salesianosloyola.es|Madrid-Sur|072|Aranjuez||918923768|4431042.0|447999.0|CALLE|LOYOLA||cc.loyola.aranjuez@educa.madrid.org|444435.0|4452066.0|21323.945976296225|1
CONGREGRACION DE LOS PADRES MERCEDARIOS|079|Villaverde|de La Canción del Olvido|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28041|PRIVADO CONCERTADO|913176204|64921230|CPR INF-PRI-SEC|55|913176203|28012949|http://www.educa.madrid.org/cc.nsdelosangeles.madrid|Madrid-Capital|072|Madrid|17|913699397|4467469.0|440516.0|CALLE|NUESTRA SEÑORA DE LOS ANGELES||cc.nsdelosangeles.madrid@educa.madrid.org|440516.0|4467469.0|0.0|1
CONOCIMIENTO Y FORMACION, S.A.|079|Tetuán|del General Moscardó|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28020|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|24|915359840|28013504|http://www.educa.madrid.org/cc.patrociniodesanjose.madrid|Madrid-Capital|072|Madrid|06|915359841|4477956.0|440935.0|CALLE|PATROCINIO DE SAN JOSE||cc.patrociniodesanjose.madrid@educa.madrid.org|440935.0|4477956.0|0.0|1
CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS|079|Chamartín|de Jorge Manrique|ESCUELA INFANTIL|5|28006|PÚBLICO-TITULARIDAD PRIVADA|915681905|915681913|EEI|27|915681917|28043752||Madrid-Capital|003|Madrid|05||4477182.0|441765.0|CALLE|CONSEJO SUP.INVESTIGACIONES CIENTIFICAS||direccion.escuela.infantil@csic.es|441765.0|4477182.0|0.0|1
CONSUELO CEREZO LOZANO|079|Fuencarral-El Pardo|de las Islas Bahamas|ESCUELA INFANTIL PRIVADA|5|28035|PRIVADO|||EIPR|33|913732652|28062448||Madrid-Capital|008|Madrid|08||4481053.0|438740.0|CALLE|LA ABEJA MAYA||chelocerezo@gmail.com|438740.0|4481053.0|0.0|1
COOP. DE ENSEÑANZA JOSE RAMON OTERO, SDAD. COOP. MADRILEÑA|079|Latina|de Francisco Brizuela|CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA|5|28011|PRIVADO CONCERTADO|||CPR FPE|1|914635593|28022578|https://www.jrotero.com/nuestro-centro/|Madrid-Capital|058|Madrid|10|914644276|4473472.0|437323.0|CALLE|JOSE RAMON OTERO||cc.joseramonotero.madrid@educa.madrid.org|437323.0|4473472.0|0.0|1
COOP.DE ENSEÑANZA S.ANDRES Y STA.BARBARA,SDAD.COOP.MADRILEÑA|079|Centro|de la Paja|CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA|5|28005|PRIVADO CONCERTADO|913652172||CPR ES|4|913652340|28020028|https://www.centrosantabarbara.es/|Madrid-Capital|045|Madrid|01|913669961|4473804.0|439643.0|PLAZA|SANTA BARBARA||cc.santabarbara.madrid@educa.madrid.org|439643.0|4473804.0|0.0|1
CORPORACION DE RADIO Y TELEVISION ESPAÑOLA, S.A.|079|Moncloa-Aravaca|de la Dehesa de la Villa|CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA|5|28040|PRIVADO|915817660|915817589|CPR FPE|s/n|915817654|28025919|http://www.rtve.es/instituto|Madrid-Capital|058|Madrid|09|915817581|4478596.0|437979.0|CTRA|INSTITUTO RADIO TELEVISION ESPAÑOLA (INSTITUTO RTVE)||juanpedro.ruiz@rtve.es|437979.0|4478596.0|0.0|1
COSABER, SDAD. COOP. MADRILEÑA|079|Moncloa-Aravaca|de Santa Bernardita|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28023|PRIVADO CONCERTADO|913071147||CPR INF-PRI-SEC|1|913071146|28021690|http://www.educa.madrid.org/cc.bernadette.madrid|Madrid-Capital|072|Madrid|09|913070494|4478391.0|434622.0|CALLE|BERNADETTE||cc.bernadette.madrid@educa.madrid.org|434622.0|4478391.0|0.0|1
COSSIO, SDAD. COOP. MADRILEÑA|058||de la Comunidad de Madrid|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28944|PRIVADO CONCERTADO|916151098||CPR INF-PRI-SEC|30|916151446|28040556|http://colegiombcossio.es|Madrid-Sur|072|Fuenlabrada||916151446|4459072.0|432564.0|CALLE|MANUEL BARTOLOME COSSIO||cc.bartolomecossio.fuenlabrada@educa.madrid.org|432564.0|4459072.0|0.0|1
COVILU INVESTIGACIONES PEDAGOGICAS, S. L.|079|Retiro|de Ángel Ganivet|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|5|28007|PRIVADO|||CPR INF|12|915528554|28036735||Madrid-Capital|004|Madrid|03|915524432|4473325.0|442904.0|CALLE|AFUERA III B||colegio@afuera.com|442904.0|4473325.0|0.0|1
COVILU INVESTIGACIONES PEDAGOGICAS, S.L.|079|Retiro|de Francisco Vitoria|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|5|28007|PRIVADO|||CPR INF-PRI|16|915516439|28011091|http://www.colegioafuera|Madrid-Capital|015|Madrid|03|915524432|4473232.0|442892.0|CALLE|AFUERA III A||colegio@afuera.com|442892.0|4473232.0|0.0|1
CRISTINA GADEA CIRIA|079|Chamberí|de Palafox|ESCUELA INFANTIL PRIVADA|5|28010|PRIVADO|914475258|619936725|EIPR|18|680366888|28061924||Madrid-Capital|008|Madrid|07||4475932.0|440510.0|CALLE|MAFALDA||mafaldosdechamberi@gmail.com|440510.0|4475932.0|0.0|1
CRISTINA JIMENEZ HIDALGO|079|San Blas-Canillejas|de Suecia|ESCUELA INFANTIL PRIVADA|5|28022|PRIVADO|917759557||EIPR|11||28061331||Madrid-Capital|008|Madrid|20||4474831.0|448406.0|CALLE|SUECIA GARDEN||suecia@escuelasinfantilesgarden.es|448406.0|4474831.0|0.0|1
CUATRO PECAS ESCUELA INFANTIL, S.L. UNIPERSONAL|079|Moratalaz|de Lituania|ESCUELA INFANTIL PRIVADA|5|28030|PRIVADO|650650944||EIPR|2|913283036|28061572||Madrid-Capital|008|Madrid|14|913283036|4473381.0|443798.0|CALLE|BAMBI Y TAMBOR||bambiytambor@gmail.com|443798.0|4473381.0|0.0|1
CUCUTRAS, S.L.|079|Hortaleza|de Patricio Aguado|ESCUELA INFANTIL PRIVADA|5|28043|PRIVADO|625350143||EIPR|6|913002257|28062886||Madrid-Capital|008|Madrid|16||4479484.0|445988.0|PLAZA|CUCUTRAS||cucutras@cucutras.net|445988.0|4479484.0|0.0|1
CULTURAL ESNODA, S.L.|079|Tetuán|de Lérida|ESCUELA INFANTIL PRIVADA|5|28020|PRIVADO|608007124||EIPR|93|910263389|28057601|www.mininanos.com|Madrid-Capital|008|Madrid|06||4478879.0|440708.0|CALLE|MININANOS||administracion@mininanos.com|440708.0|4478879.0|0.0|1
DAFNE SDAD. COOP. MADRILEÑA|058||de las Comarcas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28941|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|70|916159690|28041275|http://www.colegio-losnaranjos.com|Madrid-Sur|072|Fuenlabrada||916159500|4461275.0|431644.0|AVDA|LOS NARANJOS||cc.losnaranjos.fuenlabrada@educa.madrid.org|431644.0|4461275.0|0.0|1
DEGAMARTIN, S.L.|115||de Portugalete|ESCUELA INFANTIL PRIVADA|4|28223|PRIVADO|||EIPR|8|913527129|28057325||Madrid-Oeste|008|Pozuelo de Alarcón|||4476628.0|431162.0|CALLE|PEQUEÑECES||info@escuela-pequeneces.es|431162.0|4476628.0|0.0|1
DEHESA DEL PRINCIPE, SDAD. LTDA.|079|Latina|de Arqueros|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|5|28024|PRIVADO|620718887|682791004|CPR INF|s/n|915090786|28041251|www.escuelainfantilel principe.com|Madrid-Capital|004|Madrid|10|915090786|4470463.0|432763.0|PLAZA|EL PRINCIPE|915090786|direccion@escuelainfantilelprincipe.com|432763.0|4470463.0|0.0|1
DELPHOS-COFA S.L.|079|Ciudad Lineal|del Estrecho de Corea|ESCUELA INFANTIL PRIVADA|5|28027|PRIVADO|640783490||EIPR|34|914086309|28044914|http://www.escuelainfantildelphos.es|Madrid-Capital|008|Madrid|15||4476912.0|445076.0|CALLE|DELPHOS||escuelainfantildelphos@gmail.com|445076.0|4476912.0|0.0|1
DENENES, SOCIEDAD COOPERATIVA MADRILEÑA|079|Ciudad Lineal|de la Virgen de Lluc|ESCUELA INFANTIL PRIVADA|5|28027|PRIVADO|635449949||EIPR|13|914072609|28050483||Madrid-Capital|008|Madrid|15||4476387.0|445094.0|CALLE|DENENES||ESTELACHAVESP@HOTMAIL.COM|445094.0|4476387.0|0.0|1
DICENDO, S.L.|079|Chamartín|de Serrano|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|5|28002|PRIVADO CONCERTADO|915639404||CPR PRI-SEC|186|915635563|28012111|http://www.colegiohispanoaleman.com|Madrid-Capital|073|Madrid|05|915627768|4477784.0|442080.0|CALLE|HISPANO ALEMAN||cc.hispanoaleman.madrid@educa.madrid.org|442080.0|4477784.0|0.0|1
DIOCESIS DE GETAFE|128||Alcorcon-Plasencia|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|2|28649|PRIVADO|||CPR PRI-SEC|k. 67|918610200|28029445|http://www.rozascs.org|Madrid-Sur|073|Rozas de Puerto Real||918611356|4463549.0|371350.0|CTRA|SEMINARIO ARZOBISPAL LA INMACULADA Y SAN DAMASO||colegioseminario@rozascs.org|371350.0|4463549.0|0.0|1
DISNAL, S.A.|127||Epidauro, 53 bis IV|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|4|28232|PRIVADO|||CPR INF||916318823|28049638|http://www.escuelainfantilcabas.edu.es|Madrid-Oeste|004|Rozas de Madrid, Las|||4485926.0|423235.0|CALLE|CABAS||contacto@cabas.org|423235.0|4485926.0|0.0|1
DOLORES AGUILA RUIZ|079|Arganzuela|de Méndez Álvaro|CENTRO AUTORIZADO ELEMENTAL DE MÚSICA|5|28045|PRIVADO|||CAU EL MUS|2|915278467|28041986||Madrid-Capital|137|Madrid|02||4473155.0|441205.0|CALLE|INTERMEZZO||info@intermezzo-escuela.com|441205.0|4473155.0|0.0|1
DOMINGO GUIJORRO CARRASCO|132||de Ramón y Cajal|ESCUELA INFANTIL PRIVADA|3|28330|PRIVADO|655406004|918945583|EIPR|40|646218987|28048816||Madrid-Este|008|San Martín de la Vega|||4451015.0|450897.0|CALLE|LA CIGÜEÑA||belenymarisa@gmail.com|450897.0|4451015.0|0.0|1
DON PITUFO, S.L.|005||de la Encomienda|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|3|28805|PRIVADO|667462974||CPR INF|23|910732866|28050495||Madrid-Este|004|Alcalá de Henares|||4481643.0|469566.0|CALLE|PARQUE BABY ALCALA||babyalcala@babyalcalaescuelainfantil.com|469566.0|4481643.0|0.0|1
DOS HERMANAS NUEVO CENTRO, S.L.|161||del Mar Mediterráneo|ESCUELA INFANTIL PRIVADA|2|28341|PRIVADO|690747508||EIPR|121|918080410|28062527|www.escuelainfantilvaldemoro.com|Madrid-Sur|008|Valdemoro|||4447784.0|441695.0|AVDA|DOS HERMANAS||escuelainfantil2hermanas@gmail.com|441695.0|4447784.0|0.0|1
Dª VIRGINIA CORROCHANO PEDRAZA|079|Puente de Vallecas|Alto del León|ESCUELA INFANTIL PRIVADA|5|28038|PRIVADO|914303211||EIPR|6|625385888|28059115|http://www.escuelainfantilmargal.com|Madrid-Capital|008|Madrid|13||4472326.0|444017.0|CALLE|MARGAL||directora@escuelainfantilmargal.com|444017.0|4472326.0|0.0|1
EBET EDUCACION, S.L.|130||Llanes|ESCUELA INFANTIL PRIVADA|3|28830|PRIVADO|||EIPR|1||28062931||Madrid-Este|008|San Fernando de Henares|||4474968.0|454868.0|CALLE|EL VALLE|||454868.0|4474968.0|0.0|1
EDIS INFANTIL, S.L. UNIPERSONAL|079|Arganzuela|de Juan Antonio Vallejo-Nájera Botas|ESCUELA INFANTIL PRIVADA|5|28005|PRIVADO|||EIPR|25|914739382|28062977|cocolan.cve.edu.es|Madrid-Capital|008|Madrid|02|914739382|4472576.0|439973.0|PASEO|COCOLAN CVE||cocolan@cve.edu.es|439973.0|4472576.0|0.0|1
EDUCACHACON, S.L.|006||Juan M. Sánchez. Pedagogo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28100|PRIVADO CONCERTADO|647786608||CPR INF-PRI-SEC|3|916516468|28000662|http://www.juanxxiiialcobendas.com|Madrid-Norte|072|Alcobendas||916516468|4488087.0|446082.0|TRVA|JUAN XXIII||cc.juanxxiii.alcobendas@educa.madrid.org|446082.0|4488087.0|0.0|1
EDUCACION EN VALORES, S.L.|079|Moratalaz|del Arroyo Fontarrón|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28030|PRIVADO|||CPR INF-PRI-SEC|209|917721100|28014612|http://www.santoangelbritishschool.es|Madrid-Capital|072|Madrid|14|917732675|4472159.0|445378.0|CALLE|SANTO ANGEL||secretaria@santoangelmoratalaz.es|445378.0|4472159.0|0.0|1
EDUCACION GENERAL Y ARTES, S.A.|090||Colonia Redondillo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28411|PRIVADO|||CPR INF-PRI-SEC|8|918578942|28056904|www.laudefontenebro.com|Madrid-Oeste|072|Moralzarzal||918427722|4502838.0|417956.0|CALLE|LAUDE FONTENEBRO SCHOOL||senior@laudefontenebro.com|417956.0|4502838.0|0.0|1
EDUCACION INFANTIL LEONOR, S.L.|005||Ciudad Residencial Universitaria|ESCUELA INFANTIL PRIVADA|3|28805|PRIVADO|670448052||EIPR|2|918835984|28061377||Madrid-Este|008|Alcalá de Henares|||4484155.0|470524.0|LUGAR|MI CASITA||alfredo@escuelainfantilmicasita.com|470524.0|4484155.0|0.0|1
EDUCACION INFANTIL MI COLE, S.L.|005||Carabaña|ESCUELA INFANTIL PRIVADA|3|28806|PRIVADO|601229773||EIPR|8|918789974|28063714||Madrid-Este|008|Alcalá de Henares|||4482343.0|469235.0|CALLE|MI COLE||educacioninfantilmicole@yahoo.es|469235.0|4482343.0|0.0|1
EDUCACION Y PROGRESO, S.A.|181||Duero|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28670|PRIVADO|916167268||CPR INF-PRI-SEC|35|916167125|28033141|http://www.agorainternationalmadrid.com|Madrid-Sur|072|Villaviciosa de Odón||916168257|4471022.0|421114.0|CALLE|AGORA INTERNATIONAL SCHOOL MADRID||info@agoraism.com|421114.0|4471022.0|0.0|1
EDUCACIONALCE, S.L.|079|Ciudad Lineal|del Poeta Blas de Otero|ESCUELA INFANTIL PRIVADA|5|28017|PRIVADO|||EIPR|38||28050598||Madrid-Capital|008|Madrid|15||4474785.0|444734.0|CALLE|ALCE|||444734.0|4474785.0|0.0|1
EDUCAMUNDO INFANTIL, S.L.|127||de Arenalón|ESCUELA INFANTIL PRIVADA|4|28231|PRIVADO|625445797||EIPR|2|916375933|28063295|www.educamundo.es|Madrid-Oeste|008|Rozas de Madrid, Las|||4482767.0|426788.0|CALLE|EDUCAMUNDO||educamundo@hotmail.com|426788.0|4482767.0|0.0|1
EDUCANDO JUNTOS, S.L.|079|Retiro|de los Reyes Magos|ESCUELA INFANTIL PRIVADA|5|28009|PRIVADO|||EIPR|6|910869437|28061183||Madrid-Capital|008|Madrid|03||4473670.0|442756.0|CALLE|EDUCANDO PITUFOS||direccion@escuelaeducando.com|442756.0|4473670.0|0.0|1
EDUCATIONAL INVESTMENT, S.L.|022||Río Guadiana|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|4|28669|PRIVADO|||CPR PRI-SEC|2|916330078|28030681||Madrid-Oeste|073|Boadilla del Monte||916322527|4475988.0|421943.0|CALLE|SAN MIGUEL II||dtecnica@stmichelsschool.es|421943.0|4475988.0|0.0|1
EDUCRIS PROYECT, S.L. UNIPERSONAL|123||BILBAO|ESCUELA INFANTIL PRIVADA|3|28523|PRIVADO|||EIPR|25|916664140|28049523||Madrid-Este|008|Rivas-Vaciamadrid|||4469167.0|454400.0|CALLE|CHIQUILIN||tarochiquilin@yahoo.es|454400.0|4469167.0|0.0|1
EIYAKI, S.L.|079|Chamartín|de Ramón y Cajal|ESCUELA INFANTIL PRIVADA|5|28016|PRIVADO|669627216||EIPR|49|915190127|28060476|www.eiyaki.com|Madrid-Capital|008|Madrid|05||4478202.0|443129.0|AVDA|YAKI||info@eiyaki.com|443129.0|4478202.0|0.0|1
EL ARCA DE MINELI, S.L.|148||Brasil|ESCUELA INFANTIL PRIVADA|3|28850|PRIVADO|||EIPR|5|911621332|28059541||Madrid-Este|008|Torrejón de Ardoz|||4479408.0|461140.0|CALLE|PUZZLE||elarcademineli@gmail.com|461140.0|4479408.0|0.0|1
EL CHOVO, S.L.|079|Puente de Vallecas|de Carlos Martín Álvarez|ESCUELA INFANTIL PRIVADA|5|28018|PRIVADO|||EIPR|23|914775949|28060002|www.materclem.es|Madrid-Capital|008|Madrid|13|914771327|4471243.0|443824.0|CALLE|EL CHOVO||elchovo@materclem.es|443824.0|4471243.0|0.0|1
EL MARAVILLOSO MUNDO DE LOS  NIÑOS, S.L.|079|Chamartín|de Serrano|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|5|28002|PRIVADO|914110571||CEXTRAN ESP|163|914116979|28057106|www.todoninos.es|Madrid-Capital|094|Madrid|05|915631863|4477716.0|442003.0|CALLE|TODO NIÑOS NURSERY SCHOOL (BRITANICO)||info@todoninos.es|442003.0|4477716.0|0.0|1
EL NIÑO LIBRE, S.L.|079|Ciudad Lineal|de Torrelaguna|ESCUELA INFANTIL PRIVADA|5|28027|PRIVADO|609132522||EIPR|65-67|914043035|28062710||Madrid-Capital|008|Madrid|15|913260539|4477191.0|444488.0|CALLE|KIND FOR KIDS||torrelaguna@escuelachiquitin.com|444488.0|4477191.0|0.0|1
EL OSITO GESTIÓN DE SERVICIOS EDUCATIVOS, S.L.|079|Chamartín|de Luis Larrainza|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|5|28002|PRIVADO|914134642|914159758|CPR INF|46|912194455|28008636|www.escuelainfantilelosito.com|Madrid-Capital|004|Madrid|05||4478001.0|443275.0|CALLE|EL OSITO DE LUIS DE LARRAINZA||info@escuelainfantilelosito.com|443275.0|4478001.0|0.0|1
EL PATIO TORRELODONES, S. L. L.|152||los Vascos|ESCUELA INFANTIL PRIVADA|4|28250|PRIVADO|618480598||EIPR|2|918569083|28062862|www.lospiratasdelpatio.com|Madrid-Oeste|008|Torrelodones|||4491921.0|421800.0|CALLE|EL PATIO TORRELODONES||torrelodones@lospiratasdelpatio.com|421800.0|4491921.0|0.0|1
EL PEQUEÑO SOCRATES, S.L.|123||de Pablo Iglesias|ESCUELA INFANTIL PRIVADA|3|28521|PRIVADO|645848272||EIPR|84|914998969|28062370|www.pequenosocrates.com|Madrid-Este|008|Rivas-Vaciamadrid||914998969|4466099.0|455733.0|AVDA|PEQUEÑO SOCRATES||pequenosocrates@gmail.com|455733.0|4466099.0|0.0|1
EL PINAR INFANTIL, S.L.|079|Ciudad Lineal|de Caleruega|ESCUELA INFANTIL PRIVADA|5|28033|PRIVADO|636492506||EIPR|51|917661154|28059620|http://www.elpinar.org|Madrid-Capital|008|Madrid|15||4481387.0|443023.0|CALLE|EL PINAR||elpinar@elpinar.org|443023.0|4481387.0|0.0|1
EL PUNTAL, FORMACION Y TECNICAS ASISTENCIALES,S.L|080||España|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|4|28220|PRIVADO|||CPR INF|20|916380368|28045864|http://www.los-angelitos.com|Madrid-Oeste|004|Majadahonda|||4480604.0|426376.0|AVDA|LOS ANGELITOS||escuela@los-angelitos.com|426376.0|4480604.0|0.0|1
EL SALVADOR, SDAD. COOP. MADRILEÑA|074||San Vicente|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28912|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|17|916864015|28003742|http://cc.elsalvador.leganes.educa.madrid.org/|Madrid-Sur|072|Leganés||916864015|4464671.0|435459.0|CALLE|EL SALVADOR||cc.elsalvador.leganes@educa.madrid.org|435459.0|4464671.0|0.0|1
